observation_date,PAYEMS_20230930
2001-01-01,132698
2001-02-01,132785
2001-03-01,132753
2001-04-01,132456
2001-05-01,132412
2001-06-01,132296
2001-07-01,132171
2001-08-01,132024
2001-09-01,131765
2001-10-01,131452
2001-11-01,131142
2001-12-01,130985
2002-01-01,130852
2002-02-01,130732
2002-03-01,130721
2002-04-01,130617
2002-05-01,130633
2002-06-01,130683
2002-07-01,130583
2002-08-01,130587
2002-09-01,130498
2002-10-01,130621
2002-11-01,130618
2002-12-01,130470
2003-01-01,130579
2003-02-01,130443
2003-03-01,130233
2003-04-01,130176
2003-05-01,130197
2003-06-01,130192
2003-07-01,130183
2003-08-01,130153
2003-09-01,130252
2003-10-01,130439
2003-11-01,130482
2003-12-01,130595
2004-01-01,130765
2004-02-01,130822
2004-03-01,131139
2004-04-01,131410
2004-05-01,131694
2004-06-01,131789
2004-07-01,131849
2004-08-01,131936
2004-09-01,132082
2004-10-01,132433
2004-11-01,132509
2004-12-01,132633
2005-01-01,132778
2005-02-01,133033
2005-03-01,133153
2005-04-01,133516
2005-05-01,133687
2005-06-01,133940
2005-07-01,134297
2005-08-01,134495
2005-09-01,134551
2005-10-01,134644
2005-11-01,135001
2005-12-01,135161
2006-01-01,135425
2006-02-01,135731
2006-03-01,136040
2006-04-01,136211
2006-05-01,136247
2006-06-01,136328
2006-07-01,136522
2006-08-01,136688
2006-09-01,136824
2006-10-01,136848
2006-11-01,137069
2006-12-01,137253
2007-01-01,137476
2007-02-01,137554
2007-03-01,137781
2007-04-01,137843
2007-05-01,137993
2007-06-01,138072
2007-07-01,138042
2007-08-01,138017
2007-09-01,138103
2007-10-01,138174
2007-11-01,138292
2007-12-01,138398
2008-01-01,138399
2008-02-01,138323
2008-03-01,138255
2008-04-01,138038
2008-05-01,137847
2008-06-01,137689
2008-07-01,137492
2008-08-01,137209
2008-09-01,136758
2008-10-01,136294
2008-11-01,135546
2008-12-01,134849
2009-01-01,134069
2009-02-01,133311
2009-03-01,132493
2009-04-01,131825
2009-05-01,131470
2009-06-01,131002
2009-07-01,130661
2009-08-01,130480
2009-09-01,130240
2009-10-01,130062
2009-11-01,130059
2009-12-01,129808
2010-01-01,129798
2010-02-01,129700
2010-03-01,129864
2010-04-01,130115
2010-05-01,130645
2010-06-01,130501
2010-07-01,130420
2010-08-01,130424
2010-09-01,130339
2010-10-01,130620
2010-11-01,130754
2010-12-01,130835
2011-01-01,130842
2011-02-01,131052
2011-03-01,131277
2011-04-01,131604
2011-05-01,131704
2011-06-01,131936
2011-07-01,131991
2011-08-01,132124
2011-09-01,132345
2011-10-01,132557
2011-11-01,132701
2011-12-01,132901
2012-01-01,133246
2012-02-01,133518
2012-03-01,133744
2012-04-01,133827
2012-05-01,133935
2012-06-01,134007
2012-07-01,134153
2012-08-01,134330
2012-09-01,134512
2012-10-01,134671
2012-11-01,134834
2012-12-01,135075
2013-01-01,135265
2013-02-01,135544
2013-03-01,135689
2013-04-01,135876
2013-05-01,136091
2013-06-01,136269
2013-07-01,136391
2013-08-01,136635
2013-09-01,136819
2013-10-01,137039
2013-11-01,137314
2013-12-01,137368
2014-01-01,137552
2014-02-01,137707
2014-03-01,137986
2014-04-01,138298
2014-05-01,138501
2014-06-01,138833
2014-07-01,139076
2014-08-01,139258
2014-09-01,139563
2014-10-01,139805
2014-11-01,140089
2014-12-01,140366
2015-01-01,140562
2015-02-01,140829
2015-03-01,140924
2015-04-01,141202
2015-05-01,141540
2015-06-01,141695
2015-07-01,141989
2015-08-01,142130
2015-09-01,142265
2015-10-01,142585
2015-11-01,142810
2015-12-01,143083
2016-01-01,143198
2016-02-01,143410
2016-03-01,143666
2016-04-01,143856
2016-05-01,143901
2016-06-01,144152
2016-07-01,144515
2016-08-01,144664
2016-09-01,144961
2016-10-01,145069
2016-11-01,145189
2016-12-01,145408
2017-01-01,145639
2017-02-01,145845
2017-03-01,145975
2017-04-01,146172
2017-05-01,146389
2017-06-01,146588
2017-07-01,146772
2017-08-01,146907
2017-09-01,146999
2017-10-01,147147
2017-11-01,147377
2017-12-01,147521
2018-01-01,147670
2018-02-01,148058
2018-03-01,148281
2018-04-01,148426
2018-05-01,148755
2018-06-01,148966
2018-07-01,149022
2018-08-01,149272
2018-09-01,149361
2018-10-01,149526
2018-11-01,149622
2018-12-01,149805
2019-01-01,150114
2019-02-01,150092
2019-03-01,150320
2019-04-01,150563
2019-05-01,150630
2019-06-01,150797
2019-07-01,150879
2019-08-01,151111
2019-09-01,151318
2019-10-01,151447
2019-11-01,151662
2019-12-01,151764
2020-01-01,152098
2020-02-01,152371
2020-03-01,150944
2020-04-01,130430
2020-05-01,133055
2020-06-01,137620
2020-07-01,139064
2020-08-01,140799
2020-09-01,141760
2020-10-01,142479
2020-11-01,142743
2020-12-01,142475
2021-01-01,142969
2021-02-01,143544
2021-03-01,144328
2021-04-01,144614
2021-05-01,145096
2021-06-01,145789
2021-07-01,146558
2021-08-01,147221
2021-09-01,147778
2021-10-01,148559
2021-11-01,149173
2021-12-01,149742
2022-01-01,150106
2022-02-01,151010
2022-03-01,151424
2022-04-01,151678
2022-05-01,152042
2022-06-01,152412
2022-07-01,152980
2022-08-01,153332
2022-09-01,153682
2022-10-01,154006
2022-11-01,154296
2022-12-01,154535
2023-01-01,155007
2023-02-01,155255
2023-03-01,155472
2023-04-01,155689
2023-05-01,155970
2023-06-01,156075
2023-07-01,156232
2023-08-01,156419
