observation_date,PCEPILFE_20220630
2001-01-01,81.592
2001-02-01,81.736
2001-03-01,81.821
2001-04-01,81.951
2001-05-01,81.970
2001-06-01,82.154
2001-07-01,82.366
2001-08-01,82.406
2001-09-01,81.939
2001-10-01,82.516
2001-11-01,82.683
2001-12-01,82.702
2002-01-01,82.750
2002-02-01,82.907
2002-03-01,83.006
2002-04-01,83.238
2002-05-01,83.331
2002-06-01,83.463
2002-07-01,83.632
2002-08-01,83.797
2002-09-01,83.934
2002-10-01,84.005
2002-11-01,84.087
2002-12-01,84.165
2003-01-01,84.223
2003-02-01,84.339
2003-03-01,84.474
2003-04-01,84.568
2003-05-01,84.690
2003-06-01,84.738
2003-07-01,84.949
2003-08-01,85.045
2003-09-01,85.164
2003-10-01,85.320
2003-11-01,85.437
2003-12-01,85.544
2004-01-01,85.763
2004-02-01,85.902
2004-03-01,86.046
2004-04-01,86.270
2004-05-01,86.388
2004-06-01,86.525
2004-07-01,86.628
2004-08-01,86.661
2004-09-01,86.823
2004-10-01,87.012
2004-11-01,87.199
2004-12-01,87.311
2005-01-01,87.625
2005-02-01,87.770
2005-03-01,87.987
2005-04-01,88.089
2005-05-01,88.269
2005-06-01,88.330
2005-07-01,88.460
2005-08-01,88.532
2005-09-01,88.728
2005-10-01,88.982
2005-11-01,89.210
2005-12-01,89.302
2006-01-01,89.503
2006-02-01,89.647
2006-03-01,89.894
2006-04-01,90.169
2006-05-01,90.395
2006-06-01,90.623
2006-07-01,90.712
2006-08-01,90.896
2006-09-01,91.040
2006-10-01,91.204
2006-11-01,91.248
2006-12-01,91.370
2007-01-01,91.741
2007-02-01,91.939
2007-03-01,92.032
2007-04-01,92.163
2007-05-01,92.272
2007-06-01,92.424
2007-07-01,92.563
2007-08-01,92.701
2007-09-01,92.954
2007-10-01,93.196
2007-11-01,93.379
2007-12-01,93.567
2008-01-01,93.753
2008-02-01,93.844
2008-03-01,94.028
2008-04-01,94.083
2008-05-01,94.255
2008-06-01,94.471
2008-07-01,94.641
2008-08-01,94.757
2008-09-01,94.854
2008-10-01,94.719
2008-11-01,94.677
2008-12-01,94.631
2009-01-01,94.602
2009-02-01,94.677
2009-03-01,94.745
2009-04-01,94.957
2009-05-01,95.030
2009-06-01,95.151
2009-07-01,95.233
2009-08-01,95.374
2009-09-01,95.541
2009-10-01,95.893
2009-11-01,95.978
2009-12-01,96.060
2010-01-01,96.201
2010-02-01,96.285
2010-03-01,96.429
2010-04-01,96.478
2010-05-01,96.585
2010-06-01,96.632
2010-07-01,96.633
2010-08-01,96.726
2010-09-01,96.781
2010-10-01,96.928
2010-11-01,97.054
2010-12-01,97.074
2011-01-01,97.283
2011-02-01,97.453
2011-03-01,97.600
2011-04-01,97.824
2011-05-01,98.057
2011-06-01,98.164
2011-07-01,98.309
2011-08-01,98.505
2011-09-01,98.572
2011-10-01,98.619
2011-11-01,98.828
2011-12-01,98.992
2012-01-01,99.288
2012-02-01,99.426
2012-03-01,99.595
2012-04-01,99.746
2012-05-01,99.847
2012-06-01,99.950
2012-07-01,100.053
2012-08-01,100.116
2012-09-01,100.240
2012-10-01,100.482
2012-11-01,100.591
2012-12-01,100.664
2013-01-01,100.871
2013-02-01,100.992
2013-03-01,101.085
2013-04-01,101.163
2013-05-01,101.272
2013-06-01,101.438
2013-07-01,101.567
2013-08-01,101.685
2013-09-01,101.799
2013-10-01,102.015
2013-11-01,102.194
2013-12-01,102.333
2014-01-01,102.426
2014-02-01,102.489
2014-03-01,102.684
2014-04-01,102.879
2014-05-01,103.061
2014-06-01,103.180
2014-07-01,103.369
2014-08-01,103.408
2014-09-01,103.536
2014-10-01,103.629
2014-11-01,103.740
2014-12-01,103.837
2015-01-01,103.816
2015-02-01,103.920
2015-03-01,104.080
2015-04-01,104.256
2015-05-01,104.385
2015-06-01,104.511
2015-07-01,104.603
2015-08-01,104.679
2015-09-01,104.814
2015-10-01,104.829
2015-11-01,104.940
2015-12-01,105.009
2016-01-01,105.204
2016-02-01,105.369
2016-03-01,105.521
2016-04-01,105.786
2016-05-01,105.948
2016-06-01,106.077
2016-07-01,106.257
2016-08-01,106.456
2016-09-01,106.579
2016-10-01,106.737
2016-11-01,106.789
2016-12-01,106.929
2017-01-01,107.204
2017-02-01,107.357
2017-03-01,107.307
2017-04-01,107.587
2017-05-01,107.699
2017-06-01,107.876
2017-07-01,107.944
2017-08-01,108.058
2017-09-01,108.267
2017-10-01,108.546
2017-11-01,108.601
2017-12-01,108.769
2018-01-01,109.060
2018-02-01,109.273
2018-03-01,109.542
2018-04-01,109.752
2018-05-01,109.969
2018-06-01,110.106
2018-07-01,110.238
2018-08-01,110.247
2018-09-01,110.475
2018-10-01,110.641
2018-11-01,110.838
2018-12-01,111.006
2019-01-01,111.060
2019-02-01,111.096
2019-03-01,111.254
2019-04-01,111.607
2019-05-01,111.744
2019-06-01,111.997
2019-07-01,112.150
2019-08-01,112.289
2019-09-01,112.367
2019-10-01,112.540
2019-11-01,112.576
2019-12-01,112.824
2020-01-01,113.040
2020-02-01,113.215
2020-03-01,113.150
2020-04-01,112.628
2020-05-01,112.864
2020-06-01,113.265
2020-07-01,113.610
2020-08-01,113.971
2020-09-01,114.131
2020-10-01,114.137
2020-11-01,114.134
2020-12-01,114.494
2021-01-01,114.746
2021-02-01,114.899
2021-03-01,115.383
2021-04-01,116.100
2021-05-01,116.766
2021-06-01,117.327
2021-07-01,117.704
2021-08-01,118.073
2021-09-01,118.357
2021-10-01,118.915
2021-11-01,119.483
2021-12-01,120.092
2022-01-01,120.636
2022-02-01,121.002
2022-03-01,121.408
2022-04-01,121.813
2022-05-01,122.237
